country,city,date,congestion,diffRatio
Argentina,Buenos Aires,2019-12-30,27,0.0
Argentina,Buenos Aires,2019-12-31,10,-0.6551724137931034
Argentina,Buenos Aires,2020-01-01,6,-0.8064516129032258
Argentina,Buenos Aires,2020-01-02,18,-0.4545454545454545
Argentina,Buenos Aires,2020-01-03,21,-0.4
Argentina,Buenos Aires,2020-01-04,13,-0.3157894736842105
Argentina,Buenos Aires,2020-01-05,9,-0.25
Argentina,Buenos Aires,2020-01-06,20,-0.2592592592592592
Argentina,Buenos Aires,2020-01-07,21,-0.2758620689655172
Argentina,Buenos Aires,2020-01-08,22,-0.2903225806451613
Argentina,Buenos Aires,2020-01-09,23,-0.303030303030303
Argentina,Buenos Aires,2020-01-10,23,-0.3428571428571429
Argentina,Buenos Aires,2020-01-11,15,-0.2105263157894736
Argentina,Buenos Aires,2020-01-12,10,-0.1666666666666666
Argentina,Buenos Aires,2020-01-13,20,-0.2592592592592592
Argentina,Buenos Aires,2020-01-14,23,-0.2068965517241379
Argentina,Buenos Aires,2020-01-15,24,-0.2258064516129032
Argentina,Buenos Aires,2020-01-16,24,-0.2727272727272727
Argentina,Buenos Aires,2020-01-17,24,-0.3142857142857143
Argentina,Buenos Aires,2020-01-18,13,-0.3157894736842105
Argentina,Buenos Aires,2020-01-19,8,-0.3333333333333333
Argentina,Buenos Aires,2020-01-20,20,-0.2592592592592592
Argentina,Buenos Aires,2020-01-21,23,-0.2068965517241379
Argentina,Buenos Aires,2020-01-22,22,-0.2903225806451613
Argentina,Buenos Aires,2020-01-23,23,-0.303030303030303
Argentina,Buenos Aires,2020-01-24,23,-0.3428571428571429
Argentina,Buenos Aires,2020-01-25,13,-0.3157894736842105
Argentina,Buenos Aires,2020-01-26,10,-0.1666666666666666
Argentina,Buenos Aires,2020-01-27,21,-0.2222222222222222
Argentina,Buenos Aires,2020-01-28,22,-0.2413793103448276
Argentina,Buenos Aires,2020-01-29,23,-0.2580645161290322
Argentina,Buenos Aires,2020-01-30,25,-0.2424242424242424
Argentina,Buenos Aires,2020-01-31,25,-0.2857142857142857
Argentina,Buenos Aires,2020-02-01,15,-0.2105263157894736
Argentina,Buenos Aires,2020-02-02,9,-0.25
Argentina,Buenos Aires,2020-02-03,20,-0.2592592592592592
Argentina,Buenos Aires,2020-02-04,22,-0.2413793103448276
Argentina,Buenos Aires,2020-02-05,25,-0.1935483870967742
Argentina,Buenos Aires,2020-02-06,24,-0.2727272727272727
Argentina,Buenos Aires,2020-02-07,30,-0.1428571428571428
Argentina,Buenos Aires,2020-02-08,13,-0.3157894736842105
Argentina,Buenos Aires,2020-02-09,9,-0.25
Argentina,Buenos Aires,2020-02-10,21,-0.2222222222222222
Argentina,Buenos Aires,2020-02-11,24,-0.1724137931034483
Argentina,Buenos Aires,2020-02-12,24,-0.2258064516129032
Argentina,Buenos Aires,2020-02-13,25,-0.2424242424242424
Argentina,Buenos Aires,2020-02-14,26,-0.2571428571428571
Argentina,Buenos Aires,2020-02-15,15,-0.2105263157894736
Argentina,Buenos Aires,2020-02-16,9,-0.25
Argentina,Buenos Aires,2020-02-17,25,-0.074074074074074
Argentina,Buenos Aires,2020-02-18,24,-0.1724137931034483
Argentina,Buenos Aires,2020-02-19,25,-0.1935483870967742
Argentina,Buenos Aires,2020-02-20,25,-0.2424242424242424
Argentina,Buenos Aires,2020-02-21,29,-0.1714285714285714
Argentina,Buenos Aires,2020-02-22,14,-0.2631578947368421
Argentina,Buenos Aires,2020-02-23,9,-0.25
Argentina,Buenos Aires,2020-02-24,12,-0.5555555555555556
Argentina,Buenos Aires,2020-02-25,9,-0.6896551724137931
Argentina,Buenos Aires,2020-02-26,24,-0.2258064516129032
Argentina,Buenos Aires,2020-02-27,26,-0.2121212121212121
Argentina,Buenos Aires,2020-02-28,31,-0.1142857142857142
Argentina,Buenos Aires,2020-02-29,15,-0.2105263157894736
Argentina,Buenos Aires,2020-03-01,8,-0.3333333333333333
Argentina,Buenos Aires,2020-03-02,25,-0.074074074074074
Argentina,Buenos Aires,2020-03-03,28,-0.0344827586206896
Argentina,Buenos Aires,2020-03-04,29,-0.064516129032258
Argentina,Buenos Aires,2020-03-05,31,-0.0606060606060606
Argentina,Buenos Aires,2020-03-06,32,-0.0857142857142857
Argentina,Buenos Aires,2020-03-07,17,-0.1052631578947368
Argentina,Buenos Aires,2020-03-08,11,-0.0833333333333333
Argentina,Buenos Aires,2020-03-09,29,0.074074074074074
Argentina,Buenos Aires,2020-03-10,29,0.0
Argentina,Buenos Aires,2020-03-11,37,0.1935483870967742
Argentina,Buenos Aires,2020-03-12,29,-0.1212121212121212
Argentina,Buenos Aires,2020-03-13,28,-0.2
Argentina,Buenos Aires,2020-03-14,12,-0.3684210526315789
Argentina,Buenos Aires,2020-03-15,4,-0.6666666666666666
Argentina,Buenos Aires,2020-03-16,21,-0.2222222222222222
Argentina,Buenos Aires,2020-03-17,20,-0.3103448275862069
Argentina,Buenos Aires,2020-03-18,17,-0.4516129032258064
Argentina,Buenos Aires,2020-03-19,20,-0.3939393939393939
Argentina,Buenos Aires,2020-03-20,10,-0.7142857142857143
Argentina,Buenos Aires,2020-03-21,3,-0.8421052631578947
Argentina,Buenos Aires,2020-03-22,0,-1.0
Argentina,Buenos Aires,2020-03-23,5,-0.8148148148148148
Argentina,Buenos Aires,2020-03-24,0,-1.0
Argentina,Buenos Aires,2020-03-25,15,-0.5161290322580645
Argentina,Buenos Aires,2020-03-26,13,-0.6060606060606061
Argentina,Buenos Aires,2020-03-27,12,-0.6571428571428571
Argentina,Buenos Aires,2020-03-28,3,-0.8421052631578947
Argentina,Buenos Aires,2020-03-29,0,-1.0
Argentina,Buenos Aires,2020-03-30,8,-0.7037037037037037
Argentina,Buenos Aires,2020-03-31,7,-0.7586206896551724
Argentina,Buenos Aires,2020-04-01,11,-0.6451612903225806
Argentina,Buenos Aires,2020-04-02,2,-0.9393939393939394
Argentina,Buenos Aires,2020-04-03,11,-0.6857142857142857
Argentina,Buenos Aires,2020-04-04,4,-0.7894736842105263
Argentina,Buenos Aires,2020-04-05,0,-1.0
Argentina,Buenos Aires,2020-04-06,10,-0.6296296296296297
Argentina,Buenos Aires,2020-04-07,11,-0.6206896551724138
Argentina,Buenos Aires,2020-04-08,12,-0.6129032258064516
Argentina,Buenos Aires,2020-04-09,1,-0.9696969696969696
Argentina,Buenos Aires,2020-04-10,0,-1.0
Argentina,Buenos Aires,2020-04-11,3,-0.8421052631578947
Argentina,Buenos Aires,2020-04-12,0,-1.0
Argentina,Buenos Aires,2020-04-13,11,-0.5925925925925926
Argentina,Buenos Aires,2020-04-14,12,-0.5862068965517241
Argentina,Buenos Aires,2020-04-15,14,-0.5483870967741935
Argentina,Buenos Aires,2020-04-16,13,-0.6060606060606061
